id	label
NOHIT|tr|A0A6S6VU64|A0A6S6VU64_9PLEO	NO_HIT
NOHIT|tr|A0A2K4MT17|A0A2K4MT17_9NEIS	NO_HIT
NOHIT|tr|A0A6N4VIY1|A0A6N4VIY1_9MYCO	NO_HIT
NOHIT|tr|A0A0C2QY38|A0A0C2QY38_9RICK	NO_HIT
NOHIT|tr|A0A1F9Y9Z1|A0A1F9Y9Z1_9BACT	NO_HIT
NOHIT|tr|A0A401M9E5|A0A401M9E5_9ACTN	NO_HIT
NOHIT|tr|A0A392S691|A0A392S691_9FABA	NO_HIT
NOHIT|tr|A0A1I8FV02|A0A1I8FV02_9PLAT	NO_HIT
NOHIT|tr|A0A915UA24|A0A915UA24_9BACT	NO_HIT
NOHIT|tr|A0A239DKH7|A0A239DKH7_9RHOB	NO_HIT
NOHIT|tr|G5BQB0|G5BQB0_HETGA	NO_HIT
NOHIT|tr|A0A3L7ADI9|A0A3L7ADI9_9HYPH	NO_HIT
NOHIT|tr|A0A1B0DB36|A0A1B0DB36_PHLPP	NO_HIT
NOHIT|tr|A0A838Q9Y0|A0A838Q9Y0_9BACT	NO_HIT
NOHIT|tr|A0A7X2D567|A0A7X2D567_9PROT	NO_HIT
NOHIT|tr|A0A1G5CEH7|A0A1G5CEH7_9PROT	NO_HIT
NOHIT|tr|A0A315C4S8|A0A315C4S8_9BURK	NO_HIT
NOHIT|tr|A0A7F8RUG7|A0A7F8RUG7_LEPWE	NO_HIT
NOHIT|tr|A0A7C3XX38|A0A7C3XX38_9BACT	NO_HIT
NOHIT|tr|A0A8C9B2Q7|A0A8C9B2Q7_PROSS	NO_HIT
NOHIT|tr|A0A059FI85|A0A059FI85_9PROT	NO_HIT
NOHIT|tr|A0A0G2K896|A0A0G2K896_RAT	NO_HIT
NOHIT|tr|A0A832F2C7|A0A832F2C7_9ARCH	NO_HIT
NOHIT|tr|A0A1U7VBM0|A0A1U7VBM0_NICSY	NO_HIT
NOHIT|tr|A0A1A8E4M0|A0A1A8E4M0_NOTKA	NO_HIT
NOHIT|tr|A0A2A2V0S5|A0A2A2V0S5_9GAMM	NO_HIT
NOHIT|tr|A0A930PR19|A0A930PR19_9MICC	NO_HIT
NOHIT|tr|A0A519HRM7|A0A519HRM7_9CAUL	NO_HIT
NOHIT|tr|A0A1G5DSY0|A0A1G5DSY0_9HYPH	NO_HIT
NOHIT|tr|A0A9E3KE13|A0A9E3KE13_9BACT	NO_HIT
NOHIT|tr|A0A7K2MRX6|A0A7K2MRX6_9ACTN	NO_HIT
NOHIT|tr|A0AAW2MK70|A0AAW2MK70_9LAMI	NO_HIT
NOHIT|tr|A0A948EL56|A0A948EL56_9PROT	NO_HIT
NOHIT|tr|A0A8B9X9V1|A0A8B9X9V1_BOSMU	NO_HIT
NOHIT|tr|A0A8K0IM66|A0A8K0IM66_COCNU	NO_HIT
NOHIT|tr|A0A3C0FM77|A0A3C0FM77_9PROT	NO_HIT
NOHIT|tr|A0AAD9CG59|A0AAD9CG59_DISEL	NO_HIT
NOHIT|tr|A0A4Q4CKL8|A0A4Q4CKL8_9PROT	NO_HIT
NOHIT|tr|A0A3Q9I528|A0A3Q9I528_9GAMM	NO_HIT
NOHIT|tr|A0A847Q1K0|A0A847Q1K0_UNCFE	NO_HIT
NOHIT|tr|A0A937ZCB1|A0A937ZCB1_9PROT	NO_HIT
NOHIT|tr|A0A7V9UK14|A0A7V9UK14_9BACT	NO_HIT
NOHIT|tr|A0A9D4WXA0|A0A9D4WXA0_PEA	NO_HIT
NOHIT|tr|A0A172UV88|A0A172UV88_9MYCO	NO_HIT
NOHIT|tr|A0A7Y8MM62|A0A7Y8MM62_9PROT	NO_HIT
NOHIT|tr|A0A3R7AFI0|A0A3R7AFI0_APHAT	NO_HIT
NOHIT|tr|A0A1G1YG51|A0A1G1YG51_9BACT	NO_HIT
NOHIT|tr|A0A4V2W2W1|A0A4V2W2W1_9PROT	NO_HIT
NOHIT|tr|A0A3M6V1K7|A0A3M6V1K7_POCDA	NO_HIT
NOHIT|tr|A0A2M7NE80|A0A2M7NE80_9BACT	NO_HIT
NOHIT|tr|A0A2P7TK53|A0A2P7TK53_9SPHI	NO_HIT
NOHIT|tr|A0A7C2NRN8|A0A7C2NRN8_UNCAM	NO_HIT
NOHIT|tr|A0AAU4QL69|A0AAU4QL69_9ACTN	NO_HIT
NOHIT|tr|A0A6J4PFL6|A0A6J4PFL6_9ACTN	NO_HIT
NOHIT|tr|A0A0W8D614|A0A0W8D614_PHYNI	NO_HIT
NOHIT|sp|D0KZ73|CSOSD_HALNC	NO_HIT
NOHIT|tr|A0A9W8B7I2|A0A9W8B7I2_9FUNG	NO_HIT
NOHIT|tr|A0A9P6DJH0|A0A9P6DJH0_PLEER	NO_HIT
NOHIT|tr|A0A1E7YRJ0|A0A1E7YRJ0_9PROT	NO_HIT
NOHIT|tr|A0A965I536|A0A965I536_9PROT	NO_HIT
NOHIT|tr|A0A565B128|A0A565B128_9BRAS	NO_HIT
NOHIT|tr|A0A1A7YEP6|A0A1A7YEP6_9TELE	NO_HIT
NOHIT|tr|A0A930X2F2|A0A930X2F2_9CYAN	NO_HIT
NOHIT|tr|A0A0A0VGS9|A0A0A0VGS9_CHEQU	NO_HIT
NOHIT|tr|A0A3A3Z1C9|A0A3A3Z1C9_9ACTN	NO_HIT
NOHIT|tr|A0A0K0DMX4|A0A0K0DMX4_ANGCA	NO_HIT
NOHIT|tr|A0A957QA09|A0A957QA09_9CHLR	NO_HIT
NOHIT|tr|A0A8C4L981|A0A8C4L981_EQUAS	NO_HIT
NOHIT|tr|A0A6C0HGQ1|A0A6C0HGQ1_9ZZZZ	NO_HIT
NOHIT|tr|A0A8D1R8J8|A0A8D1R8J8_PIG	NO_HIT
NOHIT|tr|A0A8I1WZG5|A0A8I1WZG5_PROMR	NO_HIT
NOHIT|tr|A0A937HYG9|A0A937HYG9_9SYNE	NO_HIT
NOHIT|tr|A0A818QXX5|A0A818QXX5_9BILA	NO_HIT
NOHIT|tr|A0A161XMU2|A0A161XMU2_9HYPH	NO_HIT
NOHIT|tr|A0A6V7IZL4|A0A6V7IZL4_9HYME	NO_HIT
NOHIT|tr|A0A0J7AU40|A0A0J7AU40_COCIT	NO_HIT
NOHIT|tr|A0A917MKL4|A0A917MKL4_9HYPH	NO_HIT
NOHIT|tr|A0A395IPC6|A0A395IPC6_9HELO	NO_HIT
NOHIT|tr|A0A167A5A3|A0A167A5A3_9GAMM	NO_HIT
NOHIT|tr|A0A5K3G4U4|A0A5K3G4U4_MESCO	NO_HIT
NOHIT|tr|A0A534TSK2|A0A534TSK2_UNCDE	NO_HIT
NOHIT|tr|A0A5N7ZES8|A0A5N7ZES8_FLASP	NO_HIT
NOHIT|tr|A0A0P7Y244|A0A0P7Y244_9RHOB	NO_HIT
NOHIT|tr|A0A2N3E2Q4|A0A2N3E2Q4_9PROT	NO_HIT
NOHIT|tr|A0A3A8QG09|A0A3A8QG09_9BACT	NO_HIT
NOHIT|tr|A0A5K7XBV4|A0A5K7XBV4_9BACT	NO_HIT
NOHIT|tr|A0A7W1ADX7|A0A7W1ADX7_9BACT	NO_HIT
NOHIT|tr|A0A3S4JSI1|A0A3S4JSI1_CHRVL	NO_HIT
NOHIT|tr|A0A6A6QI68|A0A6A6QI68_9PEZI	NO_HIT
NOHIT|tr|A0A7J5VDE6|A0A7J5VDE6_9BACT	NO_HIT
